AbnormalShield: 阻擋指定數量的負面效果。（類似 DOTA 的靈魂戒指）
AbnormalTimeChange: 變更目標身上增益/負面效果的持續時間。
AbnormalTimeChangeBySkillId: 變更指定技能ID的效果持續時間。(l2jmobius)
AbsorbDamage: 吸收指定數量的傷害。當傷害被阻擋時顯示免疫訊息，目標仍可被施加負面效果。
AbstractConditionalHpEffect: 用於管理條件式HP屬性的抽象類別。狂暴、最後要塞等技能。
AbstractStatAddEffect: 用於管理屬性加成的抽象類別。
AbstractStatEffect: 用於管理屬性的抽象類別。
AbstractStatPercentEffect: 用於管理屬性百分比的抽象類別。(l2jmobius)
AccessoryMagicalDefence: 飾品魔法防禦屬性。(l2jmobius)
Accuracy: 物理命中屬性。
AccuracyBonus: 命中加成屬性。(l2jmobius)
AddHate: 即時效果，增加目標對你的仇恨值。
AddHuntingTime: 為限時狩獵區域增加時間。(l2jmobius)
AdditionalPhysicalDamage: 額外物理傷害效果處理器。(l2jmobius)
AdditionalPotionCp: 增加從藥水或萬能藥恢復的CP數量。(l2jmobius)
AdditionalPotionCpPer: 增加從藥水或萬能藥恢復的CP百分比。(l2jmobius)
AdditionalPotionHp: 增加從藥水或萬能藥恢復的HP數量。(l2jmobius)
AdditionalPotionHpPer: 增加從藥水或萬能藥恢復的HP百分比。(l2jmobius)
AdditionalPotionMp: 增加從藥水或萬能藥恢復的MP數量。(l2jmobius)
AdditionalPotionMpPer: 增加從藥水或萬能藥恢復的MP百分比。(l2jmobius)
AddMaxMagicCriticalRate: 覆寫預設設定 MAX_MCRIT_RATE 的屬性。(l2jmobius)
AddMaxPhysicalCriticalRate: 覆寫預設設定 MAX_PCRIT_RATE 的屬性。(l2jmobius)
AddPcCafePoints: 永久增加電競點數。(l2jmobius)
AddSkillBySkill: 當另一個技能已存在時新增技能。(l2jmobius)
AddTeleportBookmarkSlot: 即時效果，增加我的傳送書籤槽位數量。
AgathionSlot: 阿卡神的槽位修正值。(l2jmobius)
AreaDamage: 地形（危險區域）抵抗屬性。
AreaOfEffectDamageDefence: 範圍傷害防禦屬性。(l2jmobius)
AreaOfEffectDamageModify: 範圍傷害修正值。(l2jmobius)
ArmorPhysicalDefence: 護甲物理防禦屬性。(l2jmobius)
ArtifactSlot: 神器槽位修正值。(l2jmobius)
AssistOwnerAttack: 使召喚獸協助主人攻擊。(l2jmobius)
AssistOwnerCast: 使召喚獸在主人施放技能時施放指定技能。(l2jmobius)
AttackAttribute: 增加特定攻擊屬性的屬性值。
AttackAttributeAdd: 增加所有攻擊屬性的屬性值。
AttackBehind: 無論位置為何，所有攻擊均視為從背後發動。
AttackTrait: 管理所有攻擊特性的屬性。
AutoAttackDamageBonus: 一般攻擊傷害修正值。(l2jmobius)
Backstab: 依照背刺公式造成物理傷害。
Betray: 使目標召喚獸攻擊其主人。
Blink: 傳送至指定位置效果。
BlinkSwap: 你傳送至目標位置，目標傳送至你的位置。
BlockAbnormalSlot: 阻擋任何異常類型接受其技能效果。角、鼓、管風琴旋律等使用此效果。
